Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
289,M K Raghavan,Kozhikode,INC,0,Graduate,"Rs 14,09,694  ~ 14 Lacs+","Rs 10,55,000  ~ 10 Lacs+"
292,KOTLA JAYA SURYA PRAKASH REDDY,Kurnool,INC,0,Graduate,"Rs 5,37,19,195  ~ 5 Crore+","Rs 30,34,000  ~ 30 Lacs+"
293,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rs 1,31,07,30,000  ~ 131 Crore+",Rs 0  ~
294,KU. RATANJEET PRATAP NARAYAN SINGH,Kushi Nagar,INC,0,Graduate,"Rs 3,99,75,893  ~ 3 Crore+","Rs 1,00,000  ~ 1 Lacs+"
295,HASSAN KHAN,Ladakh,IND,0,Graduate,"Rs 60,65,000  ~ 60 Lacs+",Rs 0  ~
297,Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,0,Graduate Professional,"Rs 2,09,77,767  ~ 2 Crore+",Rs 0  ~
298,DR. BALIRAM,Lalganj,BSP,0,Doctorate,"Rs 80,03,036  ~ 80 Lacs+","Rs 6,38,922  ~ 6 Lacs+"
300,Sudershan Bhagat,Lohardaga,BJP,0,Graduate,"Rs 30,93,207  ~ 30 Lacs+","Rs 2,36,750  ~ 2 Lacs+"
301,LAL JI TANDON,Lucknow,BJP,0,Graduate,"Rs 2,17,00,160  ~ 2 Crore+",Rs 0  ~
302,MANISH TEWARI,Ludhiana,INC,0,Graduate Professional,"Rs 2,99,41,543  ~ 2 Crore+",Rs 0  ~
303,TUFANI SAROJ,Machhlishahr,SP,0,Graduate,"Rs 53,36,133  ~ 53 Lacs+",Rs 0  ~
304,Konakalla Narayana Rao,Machilipatnam,TDP,0,12th Pass,"Rs 86,16,000  ~ 86 Lacs+","Rs 37,87,000  ~ 37 Lacs+"
305,PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,0,10th Pass,"Rs 8,72,38,434  ~ 8 Crore+",Rs 0  ~
307,HUKM DEO NARAYAN YADAV,Madhubani,BJP,0,Graduate,"Rs 2,50,12,430  ~ 2 Crore+","Rs 2,64,033  ~ 2 Lacs+"
308,ALAGIRI M.K,Madurai,DMK,0,Graduate,"Rs 19,39,78,895  ~ 19 Crore+",Rs 0  ~
309,P. BALRAM,Mahabubabad,INC,0,Graduate,"Rs 1,71,95,194  ~ 1 Crore+","Rs 1,41,22,000  ~ 1 Crore+"
311,Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,0,Graduate Professional,"Rs 68,05,000  ~ 68 Lacs+","Rs 13,00,000  ~ 13 Lacs+"
313,JAYSHREEBEN KANUBHAI PATEL,Mahesana,BJP,0,10th Pass,"Rs 33,43,068  ~ 33 Lacs+","Rs 2,63,528  ~ 2 Lacs+"
314,MULAYAM SINGH YADAV,Mainpuri,SP,0,Post Graduate,"Rs 2,23,99,320  ~ 2 Crore+","Rs 2,43,842  ~ 2 Lacs+"
315,E Ahamed,Malappuram,MUL,0,Post Graduate,"Rs 38,87,709  ~ 38 Lacs+",Rs 0  ~
316,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rs 87,82,797  ~ 87 Lacs+",Rs 0  ~
317,Mausam Noor,Maldaha Uttar,INC,0,Graduate Professional,"Rs 18,47,359  ~ 18 Lacs+","Rs 2,34,488  ~ 2 Lacs+"
319,VIRBHADRA SINGH,Mandi,INC,0,Post Graduate,"Rs 22,52,28,748  ~ 22 Crore+","Rs 6,28,864  ~ 6 Lacs+"
320,BASORI SINGH MASRAM,Mandla,INC,0,8th Pass,"Rs 36,21,178  ~ 36 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
321,MEENAKSHI NATRAJAN,Mandsour,INC,0,Post Graduate,"Rs 11,26,966  ~ 11 Lacs+",Rs 0  ~
323,RAMEN DEKA,Mangaldoi,BJP,0,Graduate,"Rs 75,79,967  ~ 75 Lacs+",Rs 0  ~
325,CHOUDHURY MOHAN JATUA,Mathurapur,AITC,0,Post Graduate,"Rs 25,85,000  ~ 25 Lacs+",Rs 0  ~
329,Laxman Tudu,Mayurbhanj,BJD,0,Graduate,"Rs 1,73,000  ~ 1 Lacs+","Rs 38,986  ~ 38 Thou+"
330,VIJAYA SHANTHI .M,Medak,TRS,0,10th Pass,"Rs 27,10,66,905  ~ 27 Crore+",Rs 0  ~
331,Prabodh Panda,Medinipur,CPI,0,Graduate,"Rs 22,30,746  ~ 22 Lacs+","Rs 3,62,156  ~ 3 Lacs+"
332,RAJENDRA AGARWAL,Meerut,BJP,0,Post Graduate,"Rs 21,21,825  ~ 21 Lacs+","Rs 3,15,620  ~ 3 Lacs+"
334,ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,"Rs 62,21,049  ~ 62 Lacs+","Rs 6,65,426  ~ 6 Lacs+"
335,C.L.RUALA,Mizoram,INC,0,Graduate Professional,"Rs 53,54,186  ~ 53 Lacs+",Rs 0  ~
336,SUSHILA SAROJ,Mohanlalganj,SP,0,Post Graduate,"Rs 2,86,80,230  ~ 2 Crore+","Rs 24,52,429  ~ 24 Lacs+"
337,MOHAMMED AZHARUDDIN,Moradabad,INC,0,Graduate,"Rs 2,52,33,948  ~ 2 Crore+","Rs 5,65,160  ~ 5 Lacs+"
338,NARENDRA SINGH TOMAR,Morena,BJP,0,Graduate,"Rs 34,53,203  ~ 34 Lacs+","Rs 17,80,000  ~ 17 Lacs+"
340,DUTT PRIYA SUNIL,Mumbai North Central,INC,0,Graduate,"Rs 34,95,76,448  ~ 34 Crore+","Rs 1,47,511  ~ 1 Lacs+"
342,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,"Rs 6,39,26,963  ~ 6 Crore+",Rs 0  ~
343,DEORA MILIND MURLI,Mumbai South,INC,0,Graduate Professional,"Rs 17,53,73,142  ~ 17 Crore+",Rs 0  ~
344,EKNATH M. GAIKWAD,Mumbai South Central,INC,0,10th Pass,"Rs 21,95,416  ~ 21 Lacs+",Rs 0  ~
347,CAPTAIN JAI NARAYAN PRASAD NISHAD,Muzaffarpur,JD(U),0,12th Pass,"Rs 1,51,48,831  ~ 1 Crore+","Rs 43,37,141  ~ 43 Lacs+"
348,ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,"Rs 2,82,91,172  ~ 2 Crore+","Rs 73,67,061  ~ 73 Lacs+"
349,Pradeep Kumar Majhi,Nabarangpur,INC,0,Graduate,"Rs 8,50,000  ~ 8 Lacs+","Rs 3,45,830  ~ 3 Lacs+"
350,VIJAYAN A K S,Nagapattinam,DMK,0,12th Pass,"Rs 72,05,000  ~ 72 Lacs+","Rs 11,27,000  ~ 11 Lacs+"
351,Dr. Manda Jagannath,Nagarkurnool,INC,0,Post Graduate,"Rs 2,81,26,000  ~ 2 Crore+","Rs 31,23,000  ~ 31 Lacs+"
352,DR JYOTI MIRDHA,Nagaur,INC,0,Graduate Professional,"Rs 3,90,39,915  ~ 3 Crore+",Rs 0  ~
354,MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,0,Graduate,"Rs 1,53,02,294  ~ 1 Crore+","Rs 27,56,726  ~ 27 Lacs+"
355,K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,0,12th Pass,"Rs 4,39,87,049  ~ 4 Crore+","Rs 6,49,024  ~ 6 Lacs+"
356,KAUSHALENDRA KUMAR,Nalanda,JD(U),0,12th Pass,"Rs 71,33,058  ~ 71 Lacs+","Rs 2,27,065  ~ 2 Lacs+"
357,Gutha Sukender Reddy,Nalgonda,INC,0,12th Pass,"Rs 1,60,40,830  ~ 1 Crore+","Rs 1,66,62,997  ~ 1 Crore+"
360,GAVIT MANIKRAO HODLYA,Nandurbar,INC,0,5th Pass,"Rs 4,10,64,753  ~ 4 Crore+",Rs 0  ~
363,BAPIRAJU KANUMURU,Narsapuram,INC,0,10th Pass,"Rs 3,05,74,013  ~ 3 Crore+","Rs 38,12,438  ~ 38 Lacs+"
364,SAMEER BHUJBAL,Nashik,NCP,0,10th Pass,"Rs 6,66,60,039  ~ 6 Crore+",Rs 0  ~
366,BholaSingh,Nawada,BJP,0,Doctorate,"Rs 38,93,000  ~ 38 Lacs+","Rs 3,60,000  ~ 3 Lacs+"
367,M Rajamohan Reddy,Nellore,INC,0,Graduate Professional,"Rs 36,34,62,696  ~ 36 Crore+",Rs 0  ~
369,RAJA A,Nilgiris,DMK,0,Graduate Professional,"Rs 1,42,51,669  ~ 1 Crore+","Rs 1,66,862  ~ 1 Lacs+"
370,Madhu Yaskhi Goud,Nizamabad,INC,0,Post Graduate,"Rs 11,91,08,338  ~ 11 Crore+","Rs 1,54,22,084  ~ 1 Crore+"
371,JAI PRAKASH AGARWAL,North East Delhi,INC,0,Graduate,"Rs 2,49,28,873  ~ 2 Crore+",Rs 0  ~
372,SHRIPAD YESSO NAIK,North Goa,BJP,0,Graduate,"Rs 98,97,462  ~ 98 Lacs+","Rs 9,12,582  ~ 9 Lacs+"
373,KIRSHNA TIRATH,North West Delhi,INC,0,Graduate Professional,"Rs 2,11,46,350  ~ 2 Crore+",Rs 0  ~
375,MAGUNTA SRINIVASULU REDDY,Ongole,INC,0,Graduate,"Rs 10,20,65,901  ~ 10 Crore+",Rs 0  ~
377,THANGSO BAITE,Outer Manipur,INC,0,Post Graduate,"Rs 17,78,418  ~ 17 Lacs+","Rs 8,80,000  ~ 8 Lacs+"
380,JADHAV BALIRAM SUKUR,Palghar,BVA,0,8th Pass,"Rs 23,99,053  ~ 23 Lacs+",Rs 0  ~
383,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,"Rs 2,81,11,720  ~ 2 Crore+",Rs 0  ~
386,JAGDISHBHAI MOTIJI THAKORE,Patan,INC,0,10th Pass,"Rs 33,89,298  ~ 33 Lacs+","Rs 11,58,381  ~ 11 Lacs+"
387,Anto Antony,Pathanamthitta,INC,0,Graduate,"Rs 14,24,205  ~ 14 Lacs+","Rs 17,06,713  ~ 17 Lacs+"
388,PRENEET KAUR,Patiala,INC,0,Graduate,"Rs 42,30,43,438  ~ 42 Crore+",Rs 0  ~
389,SHATRUGHAN SINHA,Patna Sahib,BJP,0,Graduate,"Rs 15,00,33,976  ~ 15 Crore+","Rs 2,58,78,099  ~ 2 Crore+"
390,Dr. G. Vivekanand,Peddapalle,INC,0,Graduate Professional,"Rs 72,95,09,675  ~ 72 Crore+",Rs 0  ~
391,"NAPOLEON,D.",Perambalur,DMK,0,Graduate,"Rs 19,14,19,973  ~ 19 Crore+","Rs 2,82,70,000  ~ 2 Crore+"
394,SUGUMAR.K,Pollachi,ADMK,0,Graduate,"Rs 2,13,20,000  ~ 2 Crore+","Rs 1,91,027  ~ 1 Lacs+"
395,NARAYANASAMY,Pondicherry,INC,0,Post Graduate,"Rs 3,59,79,157  ~ 3 Crore+","Rs 21,71,758  ~ 21 Lacs+"
396,E T Mohamed Basheer,Ponnani,MUL,0,10th Pass,"Rs 6,05,855  ~ 6 Lacs+",Rs 0  ~
400,Pinaki Misra,Puri,BJD,0,Graduate,"Rs 29,69,00,000  ~ 29 Crore+",Rs 0  ~
402,Narahari Mahato,Purulia,AIFB,0,Post Graduate,"Rs 30,86,000  ~ 30 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
403,RADHA MOHAN SINGH,Purvi Champaran,BJP,0,Graduate,"Rs 76,29,444  ~ 76 Lacs+","Rs 1,84,731  ~ 1 Lacs+"
404,SONIA GANDHI,Rae bareli,INC,0,Others,"Rs 1,37,94,768  ~ 1 Crore+",Rs 0  ~
407,Deepa Dasmunsi,Raiganj,INC,0,Post Graduate,"Rs 1,25,14,145  ~ 1 Crore+",Rs 0  ~
408,Vishu Deo Sai,Raigarh,BJP,0,10th Pass,"Rs 23,02,000  ~ 23 Lacs+",Rs 0  ~
410,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 62,33,245  ~ 62 Lacs+","Rs 6,05,031  ~ 6 Lacs+"
411,NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,"Rs 38,08,133  ~ 38 Lacs+","Rs 1,61,617  ~ 1 Lacs+"
413,DEVIDHAN BESRA,Rajmahal,BJP,0,10th Pass,"Rs 48,28,559  ~ 48 Lacs+",Rs 0  ~
415,GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,"Rs 41,06,255  ~ 41 Lacs+","Rs 4,89,648  ~ 4 Lacs+"
417,JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,"Rs 13,14,90,118  ~ 13 Crore+","Rs 13,98,995  ~ 13 Lacs+"
419,SUCHARU RANJAN HALDAR,Ranaghat,AITC,0,Post Graduate,"Rs 1,08,82,896  ~ 1 Crore+",Rs 0  ~
421,KANTILAL BHURIA,Ratlam,INC,0,Post Graduate,"Rs 3,05,57,089  ~ 3 Crore+",Rs 0  ~
423,HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,"Rs 78,42,881  ~ 78 Lacs+","Rs 6,29,917  ~ 6 Lacs+"
424,DEORAJ SINGH PATEL,Rewa,BSP,0,Post Graduate,"Rs 3,08,45,000  ~ 3 Crore+","Rs 49,61,271  ~ 49 Lacs+"
425,PAKAURI LAL,Robertsganj,SP,0,Literate,"Rs 17,62,515  ~ 17 Lacs+",Rs 0  ~
426,DEEPENDER SINGH,Rohtak,INC,0,Post Graduate,"Rs 6,53,67,032  ~ 6 Crore+",Rs 0  ~
427,MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,0,Graduate Professional,"Rs 88,42,370  ~ 88 Lacs+","Rs 1,61,190  ~ 1 Lacs+"
428,JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,"Rs 1,88,67,277  ~ 1 Crore+","Rs 2,98,187  ~ 2 Lacs+"
430,RAMASHANKAR RAJBHAR,Salempur,BSP,0,Graduate,"Rs 23,05,000  ~ 23 Lacs+",Rs 0  ~
431,MAHESWER HAZARI,Samastipur,JD(U),0,Post Graduate,"Rs 69,64,921  ~ 69 Lacs+","Rs 10,54,356  ~ 10 Lacs+"
432,Amarnath Pradhan,Sambalpur,INC,0,Graduate,"Rs 43,25,000  ~ 43 Lacs+","Rs 4,66,494  ~ 4 Lacs+"
433,DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,0,Graduate,"Rs 70,59,763  ~ 70 Lacs+",Rs 0  ~
435,VIJAY INDER SINGLA,Sangrur,INC,0,12th Pass,"Rs 3,47,77,859  ~ 3 Crore+","Rs 3,74,957  ~ 3 Lacs+"
436,BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,0,12th Pass,"Rs 3,19,26,944  ~ 3 Crore+","Rs 11,25,920  ~ 11 Lacs+"
437,MEIRA KUMAR,Sasaram,INC,0,Post Graduate,"Rs 10,15,65,500  ~ 10 Crore+",Rs 0  ~
440,ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rs 2,06,20,697  ~ 2 Crore+","Rs 15,00,000  ~ 15 Lacs+"
441,RAJESH NANDINI SINGH,Shahdol,INC,0,Graduate,"Rs 1,14,75,000  ~ 1 Crore+","Rs 2,00,000  ~ 2 Lacs+"
442,MITHLESH,Shahjahanpur,SP,0,Graduate,"Rs 80,35,655  ~ 80 Lacs+","Rs 17,46,024  ~ 17 Lacs+"
444,VINCENT H PALA,Shillong,INC,0,Graduate Professional,"Rs 25,16,18,190  ~ 25 Crore+",Rs 0  ~
445,VIRENDER KASHYAP,Shimla,BJP,0,Post Graduate,"Rs 34,34,928  ~ 34 Lacs+",Rs 0  ~
446,B.Y. RAGHAVENDRA,Shimoga,BJP,0,Graduate Professional,"Rs 6,62,73,401  ~ 6 Crore+","Rs 42,34,969  ~ 42 Lacs+"
447,WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,0,Post Graduate,"Rs 1,78,60,515  ~ 1 Crore+","Rs 24,27,069  ~ 24 Lacs+"
450,GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,"Rs 51,87,425  ~ 51 Lacs+",Rs 0  ~
451,MAHADEV SINGH,Sikar,INC,0,Post Graduate,"Rs 78,79,689  ~ 78 Lacs+",Rs 0  ~
452,PREM DAS RAI,Sikkim,SDF,0,Post Graduate,"Rs 1,85,03,294  ~ 1 Crore+","Rs 8,41,835  ~ 8 Lacs+"
453,Kabindra Purkayastha,Silchar,BJP,0,Post Graduate,"Rs 20,98,543  ~ 20 Lacs+","Rs 81,279  ~ 81 Thou+"
454,MADHU KORA,Singhbhum,IND,0,Graduate,"Rs 98,32,144  ~ 98 Lacs+",Rs 0  ~
456,ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,"Rs 29,07,146  ~ 29 Lacs+","Rs 4,62,913  ~ 4 Lacs+"
457,KAISAR JAHAN,Sitapur,BSP,0,8th Pass,"Rs 65,53,956  ~ 65 Lacs+",Rs 0  ~
458,CHIDAMBARAM P,Sivaganga,INC,0,Post Graduate,"Rs 26,79,08,542  ~ 26 Crore+",Rs 0  ~
460,SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,0,Graduate Professional,"Rs 8,60,42,099  ~ 8 Crore+","Rs 37,00,000  ~ 37 Lacs+"
461,JITENDER SINGH,Sonipat,INC,0,Graduate Professional,"Rs 17,79,080  ~ 17 Lacs+",Rs 0  ~
462,RAMESH KUMAR,South Delhi,INC,0,10th Pass,"Rs 2,58,45,997  ~ 2 Crore+","Rs 3,29,812  ~ 3 Lacs+"
463,COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,0,Graduate Professional,"Rs 2,94,73,470  ~ 2 Crore+","Rs 4,43,500  ~ 4 Lacs+"
464,KALYAN BANERJEE,Sreerampur,AITC,0,Graduate Professional,"Rs 1,61,46,266  ~ 1 Crore+","Rs 21,25,000  ~ 21 Lacs+"
465,K. KRUPA RANI,Srikakulam,INC,0,Graduate Professional,"Rs 1,84,91,160  ~ 1 Crore+","Rs 26,42,781  ~ 26 Lacs+"
466,FAROOQ ABDULLAH,Srinagar,JKN,0,Graduate Professional,"Rs 9,78,41,140  ~ 9 Crore+",Rs 0  ~
467,BAALU T R,Sriperumbudur,DMK,0,Graduate,"Rs 7,69,71,478  ~ 7 Crore+",Rs 0  ~
468,DR.SANJAY SINGH,Sultanpur,INC,0,Doctorate,"Rs 6,22,59,720  ~ 6 Crore+",Rs 0  ~
469,HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,"Rs 39,65,226  ~ 39 Lacs+",Rs 0  ~
470,VISHWA MOHAN KUMAR,Supaul,JD(U),0,Post Graduate,"Rs 66,89,616  ~ 66 Lacs+","Rs 4,40,179  ~ 4 Lacs+"
472,SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,"Rs 1,86,18,718  ~ 1 Crore+",Rs 0  ~
474,VIJAY BAHUGUNA,Tehri Garhwal,INC,0,Graduate Professional,"Rs 1,35,01,773  ~ 1 Crore+",Rs 0  ~
475,LINGAM P,Tenkasi,CPI,0,Graduate,"Rs 1,59,365  ~ 1 Lacs+","Rs 23,014  ~ 23 Thou+"
476,JOSEPH TOPPO,Tezpur,AGP,0,10th Pass,"Rs 9,36,292  ~ 9 Lacs+","Rs 5,35,000  ~ 5 Lacs+"
478,PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,"Rs 75,23,592  ~ 75 Lacs+","Rs 28,41,136  ~ 28 Lacs+"
479,AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rs 24,89,74,573  ~ 24 Crore+","Rs 21,91,815  ~ 21 Lacs+"
481,JEYADURAI S R,Thoothukkudi,DMK,0,Graduate,"Rs 8,75,26,313  ~ 8 Crore+","Rs 10,90,000  ~ 10 Lacs+"
482,P C Chacko,Thrissur,INC,0,Post Graduate,"Rs 1,63,35,679  ~ 1 Crore+",Rs 0  ~
483,VIRENDRA KUMAR,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466  ~ 25 Lacs+",Rs 0  ~
484,KUMAR.P,Tiruchirappalli,ADMK,0,Graduate Professional,"Rs 53,45,000  ~ 53 Lacs+","Rs 8,06,395  ~ 8 Lacs+"
485,RAMASUBBU S,Tirunelveli,INC,0,Post Graduate,"Rs 3,47,06,447  ~ 3 Crore+","Rs 18,07,386  ~ 18 Lacs+"
486,Chinta Mohan,Tirupati,INC,0,Graduate Professional,"Rs 55,12,900  ~ 55 Lacs+","Rs 5,57,719  ~ 5 Lacs+"
488,VENUGOPAL.P,Tiruvallur,ADMK,0,Graduate Professional,"Rs 20,74,236  ~ 20 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
489,VENUGOPAL.D,Tiruvannamalai,DMK,0,Others,"Rs 5,70,10,000  ~ 5 Crore+","Rs 15,38,546  ~ 15 Lacs+"
490,BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,"Rs 36,95,981  ~ 36 Lacs+",Rs 0  ~
491,KHAGEN DAS,Tripura West,CPM,0,Post Graduate,"Rs 34,92,580  ~ 34 Lacs+",Rs 0  ~
492,G.S. BASAVARAJU,Tumkur,BJP,0,Graduate Professional,"Rs 5,43,82,029  ~ 5 Crore+","Rs 87,61,621  ~ 87 Lacs+"
493,AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rs 66,44,295  ~ 66 Lacs+",Rs 0  ~
494,Raghuveer singh,Udaipur,INC,0,Graduate,"Rs 67,53,883  ~ 67 Lacs+","Rs 17,50,000  ~ 17 Lacs+"
495,CH. LAL SINGH,Udhampur,INC,0,Graduate,"Rs 17,62,378  ~ 17 Lacs+","Rs 26,50,000  ~ 26 Lacs+"
496,D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,0,Graduate Professional,"Rs 1,43,75,959  ~ 1 Crore+","Rs 24,86,447  ~ 24 Lacs+"
497,ASWAMEDH DEVI,Ujiarpur,JD(U),0,5th Pass,"Rs 1,05,36,274  ~ 1 Crore+","Rs 3,41,141  ~ 3 Lacs+"
499,SULTAN AHMED,Uluberia,AITC,0,Graduate,"Rs 60,26,230  ~ 60 Lacs+","Rs 36,00,555  ~ 36 Lacs+"
502,Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,"Rs 33,16,300  ~ 33 Lacs+","Rs 5,02,346  ~ 5 Lacs+"
504,RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rs 61,69,238  ~ 61 Lacs+","Rs 2,14,137  ~ 2 Lacs+"
508,ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rs 1,25,47,128  ~ 1 Crore+","Rs 32,97,328  ~ 32 Lacs+"
509,SUSHMA SWARAJ,Vidisha,BJP,0,Graduate Professional,"Rs 7,35,82,637  ~ 7 Crore+","Rs 58,250  ~ 58 Thou+"
510,L Rajagopal,Vijayawada,INC,0,Graduate Professional,"Rs 1,22,29,64,909  ~ 122 Crore+","Rs 2,39,67,984  ~ 2 Crore+"
511,ANANDAN M,Viluppuram,ADMK,0,12th Pass,"Rs 89,38,646  ~ 89 Lacs+","Rs 9,67,994  ~ 9 Lacs+"
512,MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,"Rs 33,13,910  ~ 33 Lacs+",Rs 0  ~
513,D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,"Rs 20,26,39,034  ~ 20 Crore+","Rs 5,60,000  ~ 5 Lacs+"
515,Rajaiah Siricilla,Warangal,INC,0,Graduate,"Rs 42,24,704  ~ 42 Lacs+","Rs 14,61,167  ~ 14 Lacs+"
516,DATTA MEGHE,Wardha,INC,0,Graduate,"Rs 28,77,39,495  ~ 28 Crore+","Rs 7,00,08,871  ~ 7 Crore+"
517,M I Shanavas,Wayanad,INC,0,Post Graduate,"Rs 2,39,04,424  ~ 2 Crore+","Rs 25,48,978  ~ 25 Lacs+"
518,MAHABAL MISHRA,West Delhi,INC,0,12th Pass,"Rs 6,19,94,338  ~ 6 Crore+","Rs 9,89,118  ~ 9 Lacs+"
520,SURESH KUMAR SHETKAR,Zahirabad,INC,0,Graduate,"Rs 30,11,999  ~ 30 Lacs+",Rs 0  ~
