Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
401,UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP,2,12th Pass,"Rs 41,91,30,669  ~ 41 Crore+","Rs 14,10,120  ~ 14 Lacs+"
409,V Arun Kumar,Rajahmundry,INC,2,Graduate Professional,"Rs 1,30,73,077  ~ 1 Crore+","Rs 9,79,680  ~ 9 Lacs+"
416,SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK,2,Graduate,"Rs 12,28,20,653  ~ 12 Crore+","Rs 40,00,000  ~ 40 Lacs+"
429,SEMMALAI S,Salem,ADMK,2,Graduate Professional,"Rs 4,62,20,339  ~ 4 Crore+","Rs 59,000  ~ 59 Thou+"
455,ASHOK TANWAR,Sirsa,INC,2,Post Graduate,"Rs 2,36,64,959  ~ 2 Crore+",Rs 0  ~
477,DR.SANJEEV GANESH NAIK,Thane,NCP,2,12th Pass,"Rs 3,04,15,344  ~ 3 Crore+",Rs 0  ~
506,KISANBHAI VESTABHAI PATEL,Valsad,INC,2,12th Pass,"Rs 15,20,245  ~ 15 Lacs+",Rs 0  ~
16,G V Harsha Kumar,Amalapuram,INC,1,Post Graduate,"Rs 72,89,000  ~ 72 Lacs+","Rs 10,14,298  ~ 10 Lacs+"
20,ADSUL ANANDRAO VITHOBA,Amravati,SHS,1,Graduate,"Rs 1,77,08,418  ~ 1 Crore+",Rs 0  ~
22,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 14,50,37,236  ~ 14 Crore+",Rs 0  ~
28,Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP,1,Graduate,"Rs 12,41,034  ~ 12 Lacs+",Rs 0  ~
29,MANEKA GANDHI,Aonla,BJP,1,12th Pass,"Rs 17,56,85,977  ~ 17 Crore+",Rs 0  ~
39,Nityananda Pradhan,Aska,BJD,1,Post Graduate,"Rs 2,66,16,692  ~ 2 Crore+","Rs 15,25,000  ~ 15 Lacs+"
49,KAMAL KISHOR,Bahraich,INC,1,Graduate,"Rs 13,73,495  ~ 13 Lacs+",Rs 0  ~
54,R. K. SINGH PATEL,Banda,SP,1,Graduate,"Rs 3,41,07,955  ~ 3 Crore+",Rs 0  ~
55,P.C.Mohan,Bangalore Central,BJP,1,12th Pass,"Rs 5,37,29,000  ~ 5 Crore+","Rs 3,28,87,000  ~ 3 Crore+"
69,PRAVEEN SINGH ARON,Bareilly,INC,1,Graduate Professional,"Rs 28,80,19,293  ~ 28 Crore+","Rs 3,26,22,036  ~ 3 Crore+"
107,Jagda Nand singh,Buxar,RJD,1,Graduate Professional,"Rs 65,65,488  ~ 65 Lacs+","Rs 12,263  ~ 12 Thou+"
108,K P Dhanapalan,Chalakudy,INC,1,Graduate,"Rs 29,54,364  ~ 29 Lacs+",Rs 0  ~
120,KATTI RAMESH VISHWANATH,Chikkodi,BJP,1,12th Pass,"Rs 2,83,52,578  ~ 2 Crore+",Rs 0  ~
123,GIRIJA VYAS,Chittorgarh,INC,1,Doctorate,"Rs 87,21,354  ~ 87 Lacs+",Rs 0  ~
126,Nripendra Nath Ray,Coochbehar,AIFB,1,Graduate,"Rs 11,33,170  ~ 11 Lacs+",Rs 0  ~
