Sno,Candidate,Constituency,Party,Total Expenses in election
93,JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,"Rs 17,62,603 ~ 17 Lacs+"
94,Jagda Nand singh,Buxar,RJD,"Rs 23,28,022 ~ 23 Lacs+"
95,K P Dhanapalan,Chalakudy,INC,"Rs 12,53,299 ~ 12 Lacs+"
96,RAMKISHUN,Chandauli,SP,"Rs 22,95,434 ~ 22 Lacs+"
97,PAWAN KUMAR BANSAL,Chandigarh,INC,"Rs 10,50,870 ~ 10 Lacs+"
98,KAPIL SIBAL,Chandni Chowk,INC,"Rs 12,17,347 ~ 12 Lacs+"
99,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,"Rs 17,83,265 ~ 17 Lacs+"
100,DAYANIDHI MARAN,Chennai Central,DMK,"Rs 5,52,185 ~ 5 Lacs+"
101,ELANGOVAN T.K.S,Chennai North,DMK,"Rs 5,99,420 ~ 5 Lacs+"
102,RAJENDRAN C,Chennai South,ADMK,"Rs 6,39,049 ~ 6 Lacs+"
103,KAMAL NATH,Chhindwara,INC,"Rs 14,99,827 ~ 14 Lacs+"
104,RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,"Rs 18,02,274 ~ 18 Lacs+"
105,"THIRUMAAVALAVAN, THOL",Chidambaram,VCK,"Rs 14,98,974 ~ 14 Lacs+"
106,NARAMALLI SIVAPRASAD,Chittoor,TDP,"Rs 16,96,235 ~ 16 Lacs+"
107,GIRIJA VYAS,Chittorgarh,INC,"Rs 13,35,368 ~ 13 Lacs+"
108,RAM SINGH KASWAN,Churu,BJP,"Rs 17,80,366 ~ 17 Lacs+"
109,Nripendra Nath Ray,Coochbehar,AIFB,"Rs 11,67,308 ~ 11 Lacs+"
110,ALAGIRI S,Cuddalore,INC,"Rs 15,83,087 ~ 15 Lacs+"
111,Bhartruhari Mahtab,Cuttack,BJD,"Rs 12,52,710 ~ 12 Lacs+"
112,PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP,"Rs 6,68,644 ~ 6 Lacs+"
113,PRABHABEN KISHORESINH TAVIAD,Dahod,INC,"Rs 14,94,431 ~ 14 Lacs+"
114,LALUBHAI PATEL,Daman & Diu,BJP,"Rs 6,70,118 ~ 6 Lacs+"
115,SHIVRAJ BHAIYA,Damoh,BJP,"Rs 16,41,086 ~ 16 Lacs+"
116,Jaswant Singh,Darjeeling,BJP,"Rs 11,69,618 ~ 11 Lacs+"
117,KIRODI LAL,Dausa,IND,"Rs 20,05,643 ~ 20 Lacs+"
118,Siddeswara.G.M,Davanagere,BJP,"Rs 18,53,805 ~ 18 Lacs+"
119,GORAKH PRASAD JAISWAL,Deoria,BSP,"Rs 19,86,126 ~ 19 Lacs+"
120,SAJJAN SINGH VERMA,Dewas,INC,"Rs 10,68,001 ~ 10 Lacs+"
121,GAJENDRASINGH RAJUKHEDI,Dhar,INC,"Rs 19,56,209 ~ 19 Lacs+"
122,KUNWAR JITIN PRASAD,Dhaurahra,INC,"Rs 15,62,712 ~ 15 Lacs+"
123,Tathagata Satpathy,Dhenkanal,BJD,"Rs 13,69,664 ~ 13 Lacs+"
124,BADRUDDIN AJMAL,Dhubri,AUDF,"Rs 14,88,604 ~ 14 Lacs+"
125,SONAWANE PRATAP NARAYANRAO,Dhule,BJP,"Rs 13,92,254 ~ 13 Lacs+"
126,SOMENDRA NATH MITRA,Diamond Harbour,AITC,"Rs 15,18,890 ~ 15 Lacs+"
127,SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,"Rs 15,55,334 ~ 15 Lacs+"
128,CHITTHAN N S V,Dindigul,INC,"Rs 9,41,188 ~ 9 Lacs+"
129,CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP,"Rs 10,67,164 ~ 10 Lacs+"
130,SAUGATA RAY,Dum Dum,AITC,"Rs 19,29,495 ~ 19 Lacs+"
131,SHIBU SOREN,Dumka,JMM,"Rs 16,38,738 ~ 16 Lacs+"
132,SAROJ PANDEY,Durg,BJP,"Rs 11,23,933 ~ 11 Lacs+"
133,SANDEEP DIKSHIT,East Delhi,INC,"Rs 14,97,619 ~ 14 Lacs+"
134,Prof K V Thomas,Ernakulam,INC,"Rs 12,14,541 ~ 12 Lacs+"
135,GANESHAMURTHI.A.,Erode,MDMK,"Rs 9,23,980 ~ 9 Lacs+"
136,KALYAN SINGH,Etah,IND,"Rs 16,53,761 ~ 16 Lacs+"
137,PREMDAS,Etawah,SP,"Rs 57,39,096 ~ 57 Lacs+"
138,NIRMAL KHATRI,Faizabad,INC,"Rs 19,72,135 ~ 19 Lacs+"
139,AVTAR SINGH BHADANA,Faridabad,INC,"Rs 12,41,268 ~ 12 Lacs+"
140,PARAMJIT KAUR GULSHAN,Faridkot,SAD,"Rs 11,47,740 ~ 11 Lacs+"
141,SALMAN KHURSHEED,Farrukhabad,INC,"Rs 11,20,292 ~ 11 Lacs+"
142,SUKHDEV SINGH,Fatehgarh Sahib,INC,"Rs 8,55,117 ~ 8 Lacs+"
143,RAKESH SACHAN,Fatehpur,SP,"Rs 22,93,831 ~ 22 Lacs+"
144,SEEMA UPADHAYAY,Fatehpur Sikri,BSP,"Rs 15,85,675 ~ 15 Lacs+"
145,AKHILESH YADAV,Firozabad,SP,"Rs 24,75,723 ~ 24 Lacs+"
146,SHER SINGH GHUBAYA,Firozpur,SAD,"Rs 16,82,358 ~ 16 Lacs+"
147,KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,"Rs 16,73,889 ~ 16 Lacs+"
148,LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP,"Rs 14,65,906 ~ 14 Lacs+"
149,BHARAT RAM MEGHWAL,Ganganagar,INC,"Rs 18,93,356 ~ 18 Lacs+"
150,SATPAL MAHARAJ,Garhwal,INC,"Rs 17,25,916 ~ 17 Lacs+"
151,BIJOYA CHAKRAVARTY,Gauhati,BJP,"Rs 16,03,292 ~ 16 Lacs+"
152,SURENDRA SINGH NAGAR,Gautam Budhha Nagar,BSP,"Rs 16,60,384 ~ 16 Lacs+"
153,Gurudas Dasgupta,Ghatal,CPI,"Rs 12,62,689 ~ 12 Lacs+"
154,RAJNATH SINGH,Ghaziabad,BJP,"Rs 17,33,961 ~ 17 Lacs+"
155,NISHIKANT DUBEY,Godda,BJP,"Rs 11,93,250 ~ 11 Lacs+"
156,BENI PRASAD VERMA,Gonda,INC,"Rs 11,77,485 ~ 11 Lacs+"
157,ADITYA NATH,Gorakhpur,BJP,"Rs 14,50,320 ~ 14 Lacs+"
158,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,"Rs 13,79,878 ~ 13 Lacs+"
159,SAMBASIVA RAO RAYAPATI,Guntur,INC,"Rs 12,41,084 ~ 12 Lacs+"
160,PARTAP SINGH BAJWA,Gurdaspur,INC,"Rs 11,60,562 ~ 11 Lacs+"
161,INDERJIT SINGH,Gurgaon,INC,"Rs 13,34,866 ~ 13 Lacs+"
162,YASHODHARA RAJE SCINDIA,Gwalior,BJP,"Rs 11,61,009 ~ 11 Lacs+"
163,ANURAG SINGH THAKUR,Hamirpur,BJP,"Rs 12,17,050 ~ 12 Lacs+"
164,VIJAY BAHADUR SINGH,Hamirpur,BSP,"Rs 16,92,822 ~ 16 Lacs+"
165,USHA VERMA,Hardoi,SP,"Rs 13,24,205 ~ 13 Lacs+"
166,HARISH RAWAT,Hardwar,INC,"Rs 18,07,928 ~ 18 Lacs+"
167,H. D. Devegowda,Hassan,JD(S),"Rs 13,54,693 ~ 13 Lacs+"
168,SARIKA SINGH,Hathras,RLD,"Rs 15,35,094 ~ 15 Lacs+"
169,SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,"Rs 18,42,778 ~ 18 Lacs+"
170,SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,"Rs 15,33,635 ~ 15 Lacs+"
171,YASHWANT SINHA,Hazaribagh,BJP,"Rs 16,89,442 ~ 16 Lacs+"
172,SUBHASH BAPURAO WANKHEDE,Hingoli,SHS,"Rs 17,51,123 ~ 17 Lacs+"
173,BHAJAN LAL,Hisar,HJCBL,"Rs 11,59,698 ~ 11 Lacs+"
174,RATNA DE,Hooghly,AITC,"Rs 12,10,703 ~ 12 Lacs+"
175,UDAY PRATAP SINGH,Hoshangabad,INC,"Rs 14,21,282 ~ 14 Lacs+"
176,SANTOSH CHOWDHARY,Hoshiarpur,INC,"Rs 12,45,461 ~ 12 Lacs+"
177,AMBICA BANERJEE,Howrah,AITC,"Rs 14,22,006 ~ 14 Lacs+"
178,Adv P T Thomas,Idukki,INC,"Rs 20,25,249 ~ 20 Lacs+"
179,SUMITRA MAHAJAN (TAI),Indore,BJP,"Rs 8,94,544 ~ 8 Lacs+"
180,DR. THOKCHOM MEINYA,Inner Manipur,INC,"Rs 13,89,610 ~ 13 Lacs+"
181,RAKESH SINGH,Jabalpur,BJP,"Rs 12,81,972 ~ 12 Lacs+"
182,KABIR SUMAN,Jadavpur,AITC,"Rs 16,43,805 ~ 16 Lacs+"
183,Bibhu Prasad Tarai,Jagatsinghpur,CPI,"Rs 9,87,132 ~ 9 Lacs+"
184,Jagdis Sharma,Jahanabad,JD(U),"Rs 14,84,266 ~ 14 Lacs+"
185,MAHESH JOSHI,Jaipur,INC,"Rs 14,28,014 ~ 14 Lacs+"
186,LAL CHAND KATARIA,Jaipur Rural,INC,"Rs 14,00,570 ~ 14 Lacs+"
