,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
133,Aligarh,BSP,1017745,Smt.  Raj Kumari  Chauhan                                           ,Uttar Pradesh                                               ,23,0,1,34034506,0,0.029903328,0.884615385
151,Etawah,SP,5739096,Shri  Premdas  Katheria                                          ,Uttar Pradesh                                               ,23,1,1,4228828,0,1.357136303,0.884615385
157,Mirzapur,SP,1134920,Shri  Bal Kumar  Patel                                             ,Uttar Pradesh                                               ,23,10,1,22978000,11695272,0.049391592,0.884615385
161,Hamirpur,BJP,1217050,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,2,42956873,623689,0.028331904,0.846153846
164,Hamirpur,BSP,1692822,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,2,42956873,623689,0.039407477,0.846153846
159,Sant Kabir Nagar,BSP,447007,Shri  Bhisma  Shankar Alias Kushal Tiwari                       ,Uttar Pradesh                                               ,22,0,1,31926944,1125920,0.014000933,0.846153846
167,Hamirpur,BJP,1217050,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,1,24150103,2504550,0.05039523,0.846153846
168,Hamirpur,BSP,1692822,Shri  Vijay Bahadur  Singh                                             ,Uttar Pradesh                                               ,22,0,1,24150103,2504550,0.07009585,0.846153846
169,Deoria,BSP,1986126,Shri  Gorakh Prasad  Jaiswal                                           ,Uttar Pradesh                                               ,22,0,1,24217040,0,0.082013574,0.846153846
183,Banda,SP,1631812,Shri  R.K. Singh  Patel                                             ,Uttar Pradesh                                               ,22,1,1,34107955,0,0.047842563,0.846153846
188,Pratapgarh,INC,2101388,Rajkumari  Ratna  Singh                                             ,Uttar Pradesh                                               ,22,5,1,678270725,1002000,0.003098155,0.846153846
204,Hardoi,SP,1324205,Smt.  Usha  Verma                                             ,Uttar Pradesh                                               ,21,0,2,10111699,500000,0.130957715,0.807692308
195,Fatehpur Sikri,BSP,1585675,Smt.  Seema  Upadhyay                                          ,Uttar Pradesh                                               ,21,0,1,26545096,1595708,0.059735139,0.807692308
197,Moradabad,INC,1756278,Shri  Mohammed  Azharuddin                                        ,Uttar Pradesh                                               ,21,0,1,25233948,565160,0.069599811,0.807692308
198,Kairana,BSP,972643,  Smt. Tabassum  Hasan  ,Uttar Pradesh                                               ,21,0,1,11667328,0,0.083364674,0.807692308
201,Shahjahanpur,SP,941436,Shri    Mithlesh Kumar                                    ,Uttar Pradesh                                               ,21,0,1,8035655,1746024,0.117157344,0.807692308
214,Maharajganj,INC,1045822,Shri  Harsh  Vardhan                                           ,Uttar Pradesh                                               ,21,2,1,10145601,450000,0.103081326,0.807692308
215,Gorakhpur,BJP,1450320,Shri  Yogi  Adityanath                                        ,Uttar Pradesh                                               ,21,2,1,2182212,0,0.664610038,0.807692308
222,Sultanpur,INC,1043965,Dr.  Sanjay  Singh                                             ,Uttar Pradesh                                               ,20,0,2,62259720,0,0.016767904,0.769230769
224,Amethi,INC,1108872,Shri  Rahul  Gandhi                                            ,Uttar Pradesh                                               ,20,0,2,23274706,2335000,0.047642793,0.769230769
229,Bulandshahr,SP,1490747,Shri  Kamlesh  Balmiki                                           ,Uttar Pradesh                                               ,20,0,0,844005,0,1.766277451,0.769230769
233,Bijnor,RLD,1294228,Shri  Sanjay Singh  Chauhan                                           ,Uttar Pradesh                                               ,19,0,2,35352625,5254245,0.036609106,0.730769231
239,Mathura,RLD,1964153,Shri  Jayant  Chaudhary                                         ,Uttar Pradesh                                               ,19,1,2,30204219,288327,0.065029094,0.730769231
256,Hathras,RLD,1535094,Smt.  Sarika  D.S. Baghel                                       ,Uttar Pradesh                                               ,18,0,2,825272,0,1.860106728,0.692307692
266,Kannauj,SP,2673865,Shri  Akhilesh  Yadav                                             ,Uttar Pradesh                                               ,17,0,2,48582202,7726354,0.055037954,0.653846154
270,Agra,BJP,1068822,Prof.(Dr.)  Ram Shankar  Katheria                                          ,Uttar Pradesh                                               ,17,0,2,1511000,639959,0.707360688,0.653846154
295,Jaunpur,BSP,2153829,Shri  Dhananjay  Singh                                             ,Uttar Pradesh                                               ,15,1,2,4362656,678982,0.49369673,0.576923077
287,Rampur,SP,1320110,Smt.  Jaya Prada  Nahata                                            ,Uttar Pradesh                                               ,15,0,1,131490118,1398995,0.010039614,0.576923077
298,Pilibhit,BJP,1778475,Shri    Varun  Gandhi                                            ,Uttar Pradesh                                               ,15,6,1,49267810,0,0.036098114,0.576923077
300,Azamgarh,BJP,1797108,Shri  Ramakant  Yadav                                             ,Uttar Pradesh                                               ,15,11,1,24494000,0,0.073369315,0.576923077
318,Aonla,BJP,1083303,Smt.  Maneka  Gandhi                                            ,Uttar Pradesh                                               ,12,1,1,175685977,0,0.006166132,0.461538462
319,Amroha,RLD,1091688,Shri  Devendra  Nagpal                                            ,Uttar Pradesh                                               ,12,6,1,132425712,13960788,0.008243777,0.461538462
316,Sitapur,BSP,1763489,Smt.  Kaisar  Jahan                                             ,Uttar Pradesh                                               ,12,0,0,6553956,0,0.26907245,0.461538462
