,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
82,94,Jagda Nand singh,Buxar,RJD,"Rs 23,28,022 ~ 23 Lacs+",207,260,Shri  Jagada Nand  Singh                                             ,15,2,Bihar                                                       ,26,24,107,Jagda Nand singh,RJD,1,Graduate Professional,"Rs 65,65,488  ~ 65 Lacs+","Rs 12,263  ~ 12 Thou+"
83,95,K P Dhanapalan,Chalakudy,INC,"Rs 12,53,299 ~ 12 Lacs+",138,186,Shri  K. P.  Dhanapalan                                        ,15,2,Kerala                                                      ,26,26,108,K P Dhanapalan,INC,1,Graduate,"Rs 29,54,364  ~ 29 Lacs+",Rs 0  ~
84,96,RAMKISHUN,Chandauli,SP,"Rs 22,95,434 ~ 22 Lacs+",257,310,Shri    Ramkishun                                         ,15,2,Uttar Pradesh                                               ,26,35,110,RAMKISHUN,SP,10,Graduate Professional,"Rs 46,72,785  ~ 46 Lacs+",Rs 0  ~
85,98,KAPIL SIBAL,Chandni Chowk,INC,"Rs 12,17,347 ~ 12 Lacs+",2,10,Shri  Kapil  Sibal                                             ,15,2,Delhi                                                       ,26,0,112,KAPIL SIBAL,INC,0,Post Graduate,"Rs 31,97,22,459  ~ 31 Crore+",Rs 0  ~
86,99,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,"Rs 17,83,265 ~ 17 Lacs+",440,498,Shri  Hansraj Gangaram  Ahir                                              ,15,2,Maharashtra                                                 ,26,13,113,AHIR HANSARAJ GANGARAM,BJP,30,10th Pass,"Rs 80,84,050  ~ 80 Lacs+","Rs 2,62,243  ~ 2 Lacs+"
87,102,RAJENDRAN C,Chennai South,ADMK,"Rs 6,39,049 ~ 6 Lacs+",253,306,Shri  C.  Rajendran                                         ,15,2,Tamil Nadu                                                  ,26,22,115,RAJENDRAN C,ADMK,0,Graduate Professional,"Rs 2,79,66,678  ~ 2 Crore+",Rs 0  ~
88,104,RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,"Rs 18,02,274 ~ 18 Lacs+",442,500,Shri  Ramsinhbhai Patalbhai  Rathwa                                            ,15,2,Gujarat                                                     ,26,23,117,RAMSINHBHAI PATALBHAI RATHAVA,BJP,0,10th Pass,"Rs 1,05,01,785  ~ 1 Crore+","Rs 66,24,317  ~ 66 Lacs+"
89,105,"THIRUMAAVALAVAN, THOL",Chidambaram,VCK,"Rs 14,98,974 ~ 14 Lacs+",203,256,Shri  Thol Thirumaavalavan  ,15,2,Tamil Nadu                                                  ,26,16,118,"THIRUMAAVALAVAN, THOL",VCK,2,Post Graduate,"Rs 23,47,700  ~ 23 Lacs+","Rs 8,81,000  ~ 8 Lacs+"
90,106,NARAMALLI SIVAPRASAD,Chittoor,TDP,"Rs 16,96,235 ~ 16 Lacs+",363,419,Shri  Naramalli  Sivaprasad                                        ,15,2,Andhra Pradesh                                              ,26,18,122,NARAMALLI SIVAPRASAD,TDP,0,Graduate Professional,"Rs 60,11,000  ~ 60 Lacs+",Rs 0  ~
91,107,GIRIJA VYAS,Chittorgarh,INC,"Rs 13,35,368 ~ 13 Lacs+",76,120,Dr.  Girija  Vyas                                              ,15,2,Rajasthan                                                   ,26,24,123,GIRIJA VYAS,INC,1,Doctorate,"Rs 87,21,354  ~ 87 Lacs+",Rs 0  ~
92,108,RAM SINGH KASWAN,Churu,BJP,"Rs 17,80,366 ~ 17 Lacs+",428,486,Shri  Ram Singh  Kaswan                                            ,15,2,Rajasthan                                                   ,26,26,124,RAM SINGH KASWAN,BJP,0,Graduate Professional,"Rs 2,74,03,097  ~ 2 Crore+",Rs 0  ~
93,110,ALAGIRI S,Cuddalore,INC,"Rs 15,83,087 ~ 15 Lacs+",126,173,Shri  S.  Alagiri                                           ,15,2,Tamil Nadu                                                  ,26,22,127,ALAGIRI S,INC,0,Graduate,"Rs 1,18,66,846  ~ 1 Crore+","Rs 7,81,36,525  ~ 7 Crore+"
94,111,Bhartruhari Mahtab,Cuttack,BJD,"Rs 12,52,710 ~ 12 Lacs+",315,370,Shri  Bhartruhari  Mahtab                                            ,15,2,Orissa                                                      ,26,26,128,Bhartruhari Mahtab,BJD,0,Post Graduate,"Rs 5,07,93,831  ~ 5 Crore+",Rs 0  ~
95,113,PRABHABEN KISHORESINH TAVIAD,Dahod,INC,"Rs 14,94,431 ~ 14 Lacs+",114,161,Dr.  Prabha Kishore  Taviad                                            ,15,2,Gujarat                                                     ,26,26,130,PRABHABEN KISHORESINH TAVIAD,INC,0,Graduate Professional,"Rs 68,23,687  ~ 68 Lacs+",Rs 0  ~
96,115,SHIVRAJ BHAIYA,Damoh,BJP,"Rs 16,41,086 ~ 16 Lacs+",472,531,Shri  Shivraj  Bhaiya                                            ,15,2,Madhya Pradesh                                              ,26,17,133,SHIVRAJ BHAIYA,BJP,0,12th Pass,"Rs 89,29,326  ~ 89 Lacs+","Rs 2,86,513  ~ 2 Lacs+"
97,116,Jaswant Singh,Darjeeling,BJP,"Rs 11,69,618 ~ 11 Lacs+",407,466,Shri  Jaswant  Singh                                             ,15,2,West Bengal                                                 ,26,12,135,Jaswant Singh,BJP,0,Graduate,"Rs 8,35,71,845  ~ 8 Crore+","Rs 7,44,864  ~ 7 Lacs+"
98,118,Siddeswara.G.M,Davanagere,BJP,"Rs 18,53,805 ~ 18 Lacs+",452,510,Shri   G.M.  Siddeswara                                        ,15,2,Karnataka                                                   ,26,20,136,Siddeswara.G.M,BJP,0,10th Pass,"Rs 14,02,48,867  ~ 14 Crore+","Rs 42,63,675  ~ 42 Lacs+"
99,119,GORAKH PRASAD JAISWAL,Deoria,BSP,"Rs 19,86,126 ~ 19 Lacs+",280,334,Shri  Gorakh Prasad  Jaiswal                                           ,15,2,Uttar Pradesh                                               ,26,22,137,GORAKH PRASAD JAISWAL,BSP,0,10th Pass,"Rs 2,42,17,040  ~ 2 Crore+",Rs 0  ~
100,120,SAJJAN SINGH VERMA,Dewas,INC,"Rs 10,68,001 ~ 10 Lacs+",124,171,Shri  Sajjan Singh  Verma                                             ,15,2,Madhya Pradesh                                              ,26,24,138,SAJJAN SINGH VERMA,INC,0,Post Graduate,"Rs 2,70,42,325  ~ 2 Crore+","Rs 11,04,525  ~ 11 Lacs+"
101,121,GAJENDRASINGH RAJUKHEDI,Dhar,INC,"Rs 19,56,209 ~ 19 Lacs+",96,141,Shri  Gajendra Singh  Rajukhedi                                         ,15,2,Madhya Pradesh                                              ,26,21,140,GAJENDRASINGH RAJUKHEDI,INC,0,Graduate Professional,"Rs 2,06,53,466  ~ 2 Crore+",Rs 0  ~
102,123,Tathagata Satpathy,Dhenkanal,BJD,"Rs 13,69,664 ~ 13 Lacs+",329,383,Shri  Tathagata  Satpathy                                          ,15,2,Orissa                                                      ,26,26,144,Tathagata Satpathy,BJD,13,12th Pass,"Rs 55,15,930  ~ 55 Lacs+",Rs 0  ~
103,124,BADRUDDIN AJMAL,Dhubri,AUDF,"Rs 14,88,604 ~ 14 Lacs+",161,210,Shri  Badruddin  Ajmal                                             ,15,2,Assam                                                       ,26,18,145,BADRUDDIN AJMAL,AUDF,0,Literate,"Rs 30,35,20,991  ~ 30 Crore+",Rs 0  ~
104,125,SONAWANE PRATAP NARAYANRAO,Dhule,BJP,"Rs 13,92,254 ~ 13 Lacs+",473,532,Shri  Sonawane  Pratap Narayanrao                                 ,15,2,Maharashtra                                                 ,26,15,146,SONAWANE PRATAP NARAYANRAO,BJP,0,Graduate Professional,"Rs 14,21,57,029  ~ 14 Crore+","Rs 65,81,693  ~ 65 Lacs+"
105,126,SOMENDRA NATH MITRA,Diamond Harbour,AITC,"Rs 15,18,890 ~ 15 Lacs+",160,208,Shri  Somendranath  Mitra                                             ,15,2,West Bengal                                                 ,26,12,147,SOMENDRA NATH MITRA,AITC,0,Graduate Professional,"Rs 1,47,30,832  ~ 1 Crore+","Rs 1,57,500  ~ 1 Lacs+"
106,127,SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,"Rs 15,55,334 ~ 15 Lacs+",4,14,Shri  Paban Singh  Ghatowar                                          ,15,2,Assam                                                       ,26,0,148,SRI PABAN SINGH GHATOWAR,INC,0,Graduate,"Rs 97,97,014  ~ 97 Lacs+",Rs 0  ~
107,128,CHITTHAN N S V,Dindigul,INC,"Rs 9,41,188 ~ 9 Lacs+",83,128,Shri  N.S.V.  Chitthan                                          ,15,2,Tamil Nadu                                                  ,26,23,149,CHITTHAN N S V,INC,0,Graduate,"Rs 1,70,35,764  ~ 1 Crore+",Rs 0  ~
108,129,CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP,"Rs 10,67,164 ~ 10 Lacs+",450,508,Shri  Harischandra Deoram  Chavan                                            ,15,2,Maharashtra                                                 ,26,17,150,CHAVAN HARISHCHANDRA DEORAM,BJP,1,Graduate,"Rs 85,15,581  ~ 85 Lacs+","Rs 15,20,114  ~ 15 Lacs+"
109,130,SAUGATA RAY,Dum Dum,AITC,"Rs 19,29,495 ~ 19 Lacs+",228,282,Prof.  Saugata  Ray                                               ,15,2,West Bengal                                                 ,26,16,152,SAUGATA RAY,AITC,0,Post Graduate,"Rs 39,71,408  ~ 39 Lacs+",Rs 0  ~
110,131,SHIBU SOREN,Dumka,JMM,"Rs 16,38,738 ~ 16 Lacs+",141,189,Shri  Shibu  Soren                                             ,15,2,Jharkhand                                                   ,26,5,153,SHIBU SOREN,JMM,3,10th Pass,"Rs 82,29,419  ~ 82 Lacs+","Rs 72,65,635  ~ 72 Lacs+"
111,132,SAROJ PANDEY,Durg,BJP,"Rs 11,23,933 ~ 11 Lacs+",370,426,Kum.  Saroj  Pandey                                            ,15,2,Chhattisgarh                                                ,26,22,154,SAROJ PANDEY,BJP,0,Post Graduate,"Rs 3,79,787  ~ 3 Lacs+","Rs 6,67,787  ~ 6 Lacs+"
112,133,SANDEEP DIKSHIT,East Delhi,INC,"Rs 14,97,619 ~ 14 Lacs+",36,72,Shri  Sandeep  Dikshit                                           ,15,2,Delhi                                                       ,26,25,155,SANDEEP DIKSHIT,INC,0,Post Graduate,"Rs 1,81,46,428  ~ 1 Crore+","Rs 19,80,887  ~ 19 Lacs+"
113,134,Prof K V Thomas,Ernakulam,INC,"Rs 12,14,541 ~ 12 Lacs+",11,32,Prof.  K.V.  Thomas                                            ,15,2,Kerala                                                      ,26,0,157,Prof K V Thomas,INC,0,Post Graduate,"Rs 1,50,41,664  ~ 1 Crore+","Rs 22,09,490  ~ 22 Lacs+"
114,135,GANESHAMURTHI.A.,Erode,MDMK,"Rs 9,23,980 ~ 9 Lacs+",355,411,Shri  A.  Ganeshamurthi                                     ,15,2,Tamil Nadu                                                  ,26,21,158,GANESHAMURTHI.A.,MDMK,1,Graduate,"Rs 2,67,29,518  ~ 2 Crore+","Rs 10,85,323  ~ 10 Lacs+"
115,137,PREMDAS,Etawah,SP,"Rs 57,39,096 ~ 57 Lacs+",267,320,Shri  Premdas  Katheria                                          ,15,2,Uttar Pradesh                                               ,26,23,159,PREMDAS,SP,1,Graduate,"Rs 42,28,828  ~ 42 Lacs+",Rs 0  ~
116,138,NIRMAL KHATRI,Faizabad,INC,"Rs 19,72,135 ~ 19 Lacs+",112,158,Dr.  Nirmal  Khatri                                            ,15,2,Uttar Pradesh                                               ,26,26,160,NIRMAL KHATRI,INC,0,Doctorate,"Rs 66,70,000  ~ 66 Lacs+","Rs 5,771  ~ 5 Thou+"
117,139,AVTAR SINGH BHADANA,Faridabad,INC,"Rs 12,41,268 ~ 12 Lacs+",74,118,Shri  Avtar Singh  Bhadana                                           ,15,2,Haryana                                                     ,26,11,161,AVTAR SINGH BHADANA,INC,1,8th Pass,"Rs 4,05,73,585  ~ 4 Crore+",Rs 0  ~
118,140,PARAMJIT KAUR GULSHAN,Faridkot,SAD,"Rs 11,47,740 ~ 11 Lacs+",336,390,Smt.  Paramjit Kaur  Gulshan                                           ,15,2,Punjab                                                      ,26,24,162,PARAMJIT KAUR GULSHAN,SAD,0,Post Graduate,"Rs 1,42,08,609  ~ 1 Crore+","Rs 21,85,837  ~ 21 Lacs+"
119,143,RAKESH SACHAN,Fatehpur,SP,"Rs 22,93,831 ~ 22 Lacs+",258,311,Shri  Rakesh  Sachan                                            ,15,2,Uttar Pradesh                                               ,26,25,165,RAKESH SACHAN,SP,7,Post Graduate,"Rs 4,09,55,595  ~ 4 Crore+",Rs 0  ~
120,144,SEEMA UPADHAYAY,Fatehpur Sikri,BSP,"Rs 15,85,675 ~ 15 Lacs+",247,301,Smt.  Seema  Upadhyay                                          ,15,2,Uttar Pradesh                                               ,26,21,166,SEEMA UPADHAYAY,BSP,0,Graduate,"Rs 2,65,45,096  ~ 2 Crore+","Rs 15,95,708  ~ 15 Lacs+"
121,147,KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,"Rs 16,73,889 ~ 16 Lacs+",213,266,Shri  Marotrao  Sainuji   Kowase                                  ,15,2,Maharashtra                                                 ,26,24,169,KOWASE MAROTRAO SAINUJI,INC,0,Graduate,"Rs 1,07,76,756  ~ 1 Crore+","Rs 5,00,000  ~ 5 Lacs+"
122,149,BHARAT RAM MEGHWAL,Ganganagar,INC,"Rs 18,93,356 ~ 18 Lacs+",189,239,Shri  Bharat Ram  Meghwal                                           ,15,2,Rajasthan                                                   ,26,25,171,BHARAT RAM MEGHWAL,INC,0,Graduate Professional,"Rs 50,16,000  ~ 50 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
123,150,SATPAL MAHARAJ,Garhwal,INC,"Rs 17,25,916 ~ 17 Lacs+",41,77,Shri  Satpal  Maharaj                                           ,15,2,Uttarakhand                                                 ,26,25,172,SATPAL MAHARAJ,INC,0,12th Pass,"Rs 11,21,36,795  ~ 11 Crore+",Rs 0  ~
124,151,BIJOYA CHAKRAVARTY,Gauhati,BJP,"Rs 16,03,292 ~ 16 Lacs+",411,470,Smt.  Bijoya  Chakravarty                                       ,15,2,Assam                                                       ,26,16,173,BIJOYA CHAKRAVARTY,BJP,0,Post Graduate,"Rs 18,70,000  ~ 18 Lacs+",Rs 0  ~
125,153,Gurudas Dasgupta,Ghatal,CPI,"Rs 12,62,689 ~ 12 Lacs+",227,280,Shri  Gurudas  Das Gupta                                         ,15,2,West Bengal                                                 ,26,26,176,Gurudas Dasgupta,CPI,0,Post Graduate,"Rs 36,54,001  ~ 36 Lacs+",Rs 0  ~
126,154,RAJNATH SINGH,Ghaziabad,BJP,"Rs 17,33,961 ~ 17 Lacs+",398,455,Shri  Rajnath  Singh                                             ,15,2,Uttar Pradesh                                               ,26,23,177,RAJNATH SINGH,BJP,1,Post Graduate,"Rs 1,49,02,703  ~ 1 Crore+",Rs 0  ~
127,155,NISHIKANT DUBEY,Godda,BJP,"Rs 11,93,250 ~ 11 Lacs+",486,545,Shri  Nishikant  Dubey                                             ,15,2,Jharkhand                                                   ,26,25,181,NISHIKANT DUBEY,BJP,0,Post Graduate,"Rs 10,10,37,987  ~ 10 Crore+",Rs 0  ~
128,156,BENI PRASAD VERMA,Gonda,INC,"Rs 11,77,485 ~ 11 Lacs+",7,25,Shri  Beni Prasad  Verma                                             ,15,2,Uttar Pradesh                                               ,26,0,182,BENI PRASAD VERMA,INC,0,Graduate Professional,"Rs 2,01,83,574  ~ 2 Crore+","Rs 80,932  ~ 80 Thou+"
129,157,ADITYA NATH,Gorakhpur,BJP,"Rs 14,50,320 ~ 14 Lacs+",416,475,Shri  Yogi  Adityanath                                        ,15,2,Uttar Pradesh                                               ,26,21,184,ADITYA NATH,BJP,2,Graduate,"Rs 21,82,212  ~ 21 Lacs+",Rs 0  ~
130,158,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,"Rs 13,79,878 ~ 13 Lacs+",12,34,Shri  Jyotiraditya Madhavrao  Scindia                                           ,15,2,Madhya Pradesh                                              ,26,0,186,JYOTIRADITYA MADHAVRAO SCINDIA,INC,0,Post Graduate,"Rs 14,90,94,212  ~ 14 Crore+",Rs 0  ~
131,159,SAMBASIVA RAO RAYAPATI,Guntur,INC,"Rs 12,41,084 ~ 12 Lacs+",70,113,Shri   Rayapati S.  Rao                                               ,15,2,Andhra Pradesh                                              ,26,18,187,SAMBASIVA RAO RAYAPATI,INC,3,Graduate,"Rs 14,71,43,582  ~ 14 Crore+","Rs 4,52,04,329  ~ 4 Crore+"
132,160,PARTAP SINGH BAJWA,Gurdaspur,INC,"Rs 11,60,562 ~ 11 Lacs+",192,244,Shri  Partap Singh  Bajwa                                             ,15,2,Punjab                                                      ,26,7,188,PARTAP SINGH BAJWA,INC,0,Graduate,"Rs 6,80,53,249  ~ 6 Crore+","Rs 1,00,000  ~ 1 Lacs+"
133,161,INDERJIT SINGH,Gurgaon,INC,"Rs 13,34,866 ~ 13 Lacs+",77,121,Shri  Inderjit Singh  Rao                                              ,15,2,Haryana                                                     ,26,20,189,INDERJIT SINGH,INC,0,Graduate Professional,"Rs 6,73,83,257  ~ 6 Crore+","Rs 96,692  ~ 96 Thou+"
134,163,ANURAG SINGH THAKUR,Hamirpur,BJP,"Rs 12,17,050 ~ 12 Lacs+",241,295,Shri  Vijay Bahadur  Singh                                             ,15,2,Uttar Pradesh                                               ,26,22,191,VIJAY BAHADUR SINGH,BSP,0,Graduate Professional,"Rs 4,29,56,873  ~ 4 Crore+","Rs 6,23,689  ~ 6 Lacs+"
135,163,ANURAG SINGH THAKUR,Hamirpur,BJP,"Rs 12,17,050 ~ 12 Lacs+",241,295,Shri  Vijay Bahadur  Singh                                             ,15,2,Uttar Pradesh                                               ,26,22,192,ANURAG SINGH THAKUR,BJP,0,Graduate,"Rs 2,41,50,103  ~ 2 Crore+","Rs 25,04,550  ~ 25 Lacs+"
136,163,ANURAG SINGH THAKUR,Hamirpur,BJP,"Rs 12,17,050 ~ 12 Lacs+",437,495,Shri  Anurag Singh  Thakur                                            ,15,2,Himachal Pradesh                                            ,26,24,191,VIJAY BAHADUR SINGH,BSP,0,Graduate Professional,"Rs 4,29,56,873  ~ 4 Crore+","Rs 6,23,689  ~ 6 Lacs+"
137,163,ANURAG SINGH THAKUR,Hamirpur,BJP,"Rs 12,17,050 ~ 12 Lacs+",437,495,Shri  Anurag Singh  Thakur                                            ,15,2,Himachal Pradesh                                            ,26,24,192,ANURAG SINGH THAKUR,BJP,0,Graduate,"Rs 2,41,50,103  ~ 2 Crore+","Rs 25,04,550  ~ 25 Lacs+"
138,164,VIJAY BAHADUR SINGH,Hamirpur,BSP,"Rs 16,92,822 ~ 16 Lacs+",241,295,Shri  Vijay Bahadur  Singh                                             ,15,2,Uttar Pradesh                                               ,26,22,191,VIJAY BAHADUR SINGH,BSP,0,Graduate Professional,"Rs 4,29,56,873  ~ 4 Crore+","Rs 6,23,689  ~ 6 Lacs+"
139,164,VIJAY BAHADUR SINGH,Hamirpur,BSP,"Rs 16,92,822 ~ 16 Lacs+",241,295,Shri  Vijay Bahadur  Singh                                             ,15,2,Uttar Pradesh                                               ,26,22,192,ANURAG SINGH THAKUR,BJP,0,Graduate,"Rs 2,41,50,103  ~ 2 Crore+","Rs 25,04,550  ~ 25 Lacs+"
140,164,VIJAY BAHADUR SINGH,Hamirpur,BSP,"Rs 16,92,822 ~ 16 Lacs+",437,495,Shri  Anurag Singh  Thakur                                            ,15,2,Himachal Pradesh                                            ,26,24,191,VIJAY BAHADUR SINGH,BSP,0,Graduate Professional,"Rs 4,29,56,873  ~ 4 Crore+","Rs 6,23,689  ~ 6 Lacs+"
141,164,VIJAY BAHADUR SINGH,Hamirpur,BSP,"Rs 16,92,822 ~ 16 Lacs+",437,495,Shri  Anurag Singh  Thakur                                            ,15,2,Himachal Pradesh                                            ,26,24,192,ANURAG SINGH THAKUR,BJP,0,Graduate,"Rs 2,41,50,103  ~ 2 Crore+","Rs 25,04,550  ~ 25 Lacs+"
142,165,USHA VERMA,Hardoi,SP,"Rs 13,24,205 ~ 13 Lacs+",277,331,Smt.  Usha  Verma                                             ,15,2,Uttar Pradesh                                               ,26,21,193,USHA VERMA,SP,0,Post Graduate,"Rs 1,01,11,699  ~ 1 Crore+","Rs 5,00,000  ~ 5 Lacs+"
143,166,HARISH RAWAT,Hardwar,INC,"Rs 18,07,928 ~ 18 Lacs+",9,29,Shri  Harish  Rawat                                             ,15,2,Uttarakhand                                                 ,26,0,194,HARISH RAWAT,INC,1,Graduate Professional,"Rs 1,18,25,335  ~ 1 Crore+",Rs 0  ~
144,167,H. D. Devegowda,Hassan,JD(S),"Rs 13,54,693 ~ 13 Lacs+",224,277,Shri  H.D.  Devegowda                                         ,15,2,Karnataka                                                   ,26,16,195,H. D. Devegowda,JD(S),0,Others,"Rs 1,96,24,664  ~ 1 Crore+","Rs 64,99,000  ~ 64 Lacs+"
145,168,SARIKA SINGH,Hathras,RLD,"Rs 15,35,094 ~ 15 Lacs+",117,164,Smt.  Sarika  D.S. Baghel                                       ,15,2,Uttar Pradesh                                               ,26,18,196,SARIKA SINGH,RLD,0,Post Graduate,"Rs 8,25,272  ~ 8 Lacs+",Rs 0  ~
146,169,SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,"Rs 18,42,778 ~ 18 Lacs+",384,440,Shri   Raju Shetti  ,15,2,Maharashtra                                                 ,26,18,197,SHETTI RAJU ALIAS DEVAPPA ANNA,SWP,0,10th Pass,"Rs 22,53,785  ~ 22 Lacs+","Rs 1,04,341  ~ 1 Lacs+"
147,170,SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,"Rs 15,33,635 ~ 15 Lacs+",393,450,Shri  Udasi Shivkumar  Chanabasappa                                      ,15,2,Karnataka                                                   ,26,23,198,SHIVAKUMAR CHANNABASAPPA UDASI,BJP,0,Graduate,"Rs 32,33,61,935  ~ 32 Crore+","Rs 3,38,33,437  ~ 3 Crore+"
148,171,YASHWANT SINHA,Hazaribagh,BJP,"Rs 16,89,442 ~ 16 Lacs+",404,463,Shri  Yashwant  Sinha                                             ,15,2,Jharkhand                                                   ,26,24,199,YASHWANT SINHA,BJP,1,Post Graduate,"Rs 3,65,76,217  ~ 3 Crore+",Rs 0  ~
149,172,SUBHASH BAPURAO WANKHEDE,Hingoli,SHS,"Rs 17,51,123 ~ 17 Lacs+",366,422,Shri  Subhash Bapurao  Wankhede                                          ,15,2,Maharashtra                                                 ,26,13,201,SUBHASH BAPURAO WANKHEDE,SHS,4,10th Pass,"Rs 34,88,000  ~ 34 Lacs+","Rs 4,84,000  ~ 4 Lacs+"
150,173,BHAJAN LAL,Hisar,HJCBL,"Rs 11,59,698 ~ 11 Lacs+",252,306,Shri    Bhajan Lal                                        ,15,2,Haryana                                                     ,26,10,202,BHAJAN LAL,HJC(BL),0,12th Pass,"Rs 6,51,13,381  ~ 6 Crore+","Rs 73,54,075  ~ 73 Lacs+"
151,174,RATNA DE,Hooghly,AITC,"Rs 12,10,703 ~ 12 Lacs+",297,352,Dr.  Ratna  De (Nag)                                          ,15,2,West Bengal                                                 ,26,24,203,RATNA DE,AITC,0,Graduate Professional,"Rs 87,30,448  ~ 87 Lacs+",Rs 0  ~
152,175,UDAY PRATAP SINGH,Hoshangabad,INC,"Rs 14,21,282 ~ 14 Lacs+",211,264,Shri  Uday Pratap  Singh                                             ,15,2,Madhya Pradesh                                              ,26,19,204,UDAY PRATAP SINGH,INC,0,Graduate,"Rs 3,99,06,000  ~ 3 Crore+","Rs 13,74,065  ~ 13 Lacs+"
153,176,SANTOSH CHOWDHARY,Hoshiarpur,INC,"Rs 12,45,461 ~ 12 Lacs+",94,139,Smt.  Santosh  Chowdhary                                         ,15,2,Punjab                                                      ,26,23,205,SANTOSH CHOWDHARY,INC,0,Graduate Professional,"Rs 2,68,16,253  ~ 2 Crore+",Rs 0  ~
154,178,Adv P T Thomas,Idukki,INC,"Rs 20,25,249 ~ 20 Lacs+",193,245,Adv.  P. T.  Thomas                                            ,15,2,Kerala                                                      ,26,26,208,Adv P T Thomas,INC,0,Post Graduate,"Rs 39,84,094  ~ 39 Lacs+","Rs 4,48,284  ~ 4 Lacs+"
155,179,SUMITRA MAHAJAN (TAI),Indore,BJP,"Rs 8,94,544 ~ 8 Lacs+",415,474,Smt.  Sumitra  Mahajan                                           ,15,2,Madhya Pradesh                                              ,26,24,209,SUMITRA MAHAJAN (TAI),BJP,0,Post Graduate,"Rs 79,74,006  ~ 79 Lacs+","Rs 44,29,400  ~ 44 Lacs+"
156,180,DR. THOKCHOM MEINYA,Inner Manipur,INC,"Rs 13,89,610 ~ 13 Lacs+",110,156,Dr.  Thokchom  Meinya                                            ,15,2,Manipur                                                     ,26,26,210,DR. THOKCHOM MEINYA,INC,0,Doctorate,"Rs 16,39,200  ~ 16 Lacs+",Rs 0  ~
157,181,RAKESH SINGH,Jabalpur,BJP,"Rs 12,81,972 ~ 12 Lacs+",436,494,Shri  Rakesh  Singh                                             ,15,2,Madhya Pradesh                                              ,26,21,211,RAKESH SINGH,BJP,0,Graduate,"Rs 92,31,699  ~ 92 Lacs+","Rs 10,545  ~ 10 Thou+"
158,182,KABIR SUMAN,Jadavpur,AITC,"Rs 16,43,805 ~ 16 Lacs+",298,353,Shri  Kabir  Suman                                             ,15,2,West Bengal                                                 ,26,19,212,KABIR SUMAN,AITC,0,Graduate,"Rs 32,06,685  ~ 32 Lacs+",Rs 0  ~
159,183,Bibhu Prasad Tarai,Jagatsinghpur,CPI,"Rs 9,87,132 ~ 9 Lacs+",305,360,Shri  Bibhu Prasad  Tarai                                             ,15,2,Orissa                                                      ,26,26,213,Bibhu Prasad Tarai,CPI,0,Post Graduate,"Rs 44,60,251  ~ 44 Lacs+","Rs 43,000  ~ 43 Thou+"
160,185,MAHESH JOSHI,Jaipur,INC,"Rs 14,28,014 ~ 14 Lacs+",179,229,Shri  Mahesh  Joshi                                             ,15,2,Rajasthan                                                   ,26,26,214,MAHESH JOSHI,INC,0,Doctorate,"Rs 1,03,88,500  ~ 1 Crore+","Rs 12,45,000  ~ 12 Lacs+"
161,186,LAL CHAND KATARIA,Jaipur Rural,INC,"Rs 14,00,570 ~ 14 Lacs+",35,71,Shri  Lal Chand  Kataria                                           ,15,2,Rajasthan                                                   ,26,0,215,LAL CHAND KATARIA,INC,0,10th Pass,"Rs 3,06,50,401  ~ 3 Crore+","Rs 7,02,835  ~ 7 Lacs+"
162,187,Mohan Jena,Jajpur,BJD,"Rs 15,35,239 ~ 15 Lacs+",337,391,Shri  Mohan  Jena                                              ,15,2,Orissa                                                      ,26,22,216,Mohan Jena,BJD,0,Post Graduate,"Rs 30,46,404  ~ 30 Lacs+",Rs 0  ~
163,188,MOHINDER SINGH KAYPEE,Jalandhar,INC,"Rs 15,83,439 ~ 15 Lacs+",191,243,Shri  Mohinder Singh  Kaypee                                            ,15,2,Punjab                                                      ,26,16,217,MOHINDER SINGH KAYPEE,INC,0,Graduate Professional,"Rs 4,81,96,591  ~ 4 Crore+","Rs 1,25,000  ~ 1 Lacs+"
164,189,GHANSYAM ANURAGI,Jalaun,SP,"Rs 19,19,879 ~ 19 Lacs+",288,342,Shri  Ghanshyam  Anuragi                                           ,15,2,Uttar Pradesh                                               ,26,26,218,GHANSYAM ANURAGI,SP,2,Post Graduate,"Rs 63,50,833  ~ 63 Lacs+",Rs 0  ~
165,190,A.T. NANA PATIL,Jalgaon,BJP,"Rs 14,74,623 ~ 14 Lacs+",471,530,Shri  A.T. Nana  Patil                                             ,15,2,Maharashtra                                                 ,26,25,219,A.T. NANA PATIL,BJP,0,Graduate,"Rs 10,38,39,607  ~ 10 Crore+","Rs 92,00,000  ~ 92 Lacs+"
