,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
12,14,SELJA,Ambala,INC,"Rs 17,24,028 ~ 17 Lacs+",5,18,Kumari    Selja                                             ,15,2,Haryana                                                     ,26,0,17,SELJA,INC,0,Post Graduate,"Rs 4,67,11,386  ~ 4 Crore+",Rs 0  ~
13,15,RAKESH PANDEY,Ambedkar Nagar,BSP,"Rs 12,98,878 ~ 12 Lacs+",279,333,Shri  Rakesh  Pandey                                            ,15,2,Uttar Pradesh                                               ,26,25,18,RAKESH PANDEY,BSP,3,8th Pass,"Rs 16,40,78,904  ~ 16 Crore+",Rs 0  ~
14,16,RAHUL GANDHI,Amethi,INC,"Rs 11,08,872 ~ 11 Lacs+",25,61,Shri  Rahul  Gandhi                                            ,15,2,Uttar Pradesh                                               ,26,20,19,RAHUL GANDHI,INC,0,Post Graduate,"Rs 2,32,74,706  ~ 2 Crore+","Rs 23,35,000  ~ 23 Lacs+"
15,17,ADSUL ANANDRAO VITHOBA,Amravati,SHS,"Rs 18,05,782 ~ 18 Lacs+",318,373,Shri  Anandrao  Adsul                                             ,15,2,Maharashtra                                                 ,26,0,20,ADSUL ANANDRAO VITHOBA,SHS,1,Graduate,"Rs 1,77,08,418  ~ 1 Crore+",Rs 0  ~
16,18,NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,"Rs 14,84,684 ~ 14 Lacs+",488,547,Shri    Naranbhai   Kachhadia                             ,15,2,Gujarat                                                     ,26,19,21,NARANBHAI BHIKHABHAI KACHHADIYA,BJP,0,5th Pass,"Rs 47,48,283  ~ 47 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
17,19,NAVJOT SINGH SIDHU,Amritsar,BJP,"Rs 17,03,665 ~ 17 Lacs+",449,507,Shri  Navjot Singh  Sidhu                                             ,15,2,Punjab                                                      ,26,6,22,NAVJOT SINGH SIDHU,BJP,1,Graduate,"Rs 14,50,37,236  ~ 14 Crore+",Rs 0  ~
18,20,DEVENDRA NAGPAL,Amroha,RLD,"Rs 10,91,688 ~ 10 Lacs+",121,168,Shri  Devendra  Nagpal                                            ,15,2,Uttar Pradesh                                               ,26,12,23,DEVENDRA NAGPAL,RLD,6,Graduate,"Rs 13,24,25,712  ~ 13 Crore+","Rs 1,39,60,788  ~ 1 Crore+"
19,22,RAVNEET SINGH,Anandpur Sahib,INC,"Rs 1,75,024 ~ 1 Lacs+",52,89,Shri  Ravneet  Singh                                             ,15,2,Punjab                                                      ,26,17,25,RAVNEET SINGH,INC,0,12th Pass,"Rs 2,18,21,443  ~ 2 Crore+","Rs 3,00,000  ~ 3 Lacs+"
20,23,MIRZA MEHBOOB BEG,Anantnag,JKN,"Rs 24,46,102 ~ 24 Lacs+",163,212,Shri  Mirza Mehboob  Beg                                               ,15,2,Jammu and Kashmir                                           ,26,21,27,MIRZA MEHBOOB BEG,JKN,0,Graduate Professional,"Rs 48,50,000  ~ 48 Lacs+",Rs 0  ~
21,24,MANEKA GANDHI,Aonla,BJP,"Rs 10,83,303 ~ 10 Lacs+",408,467,Smt.  Maneka  Gandhi                                            ,15,2,Uttar Pradesh                                               ,26,12,29,MANEKA GANDHI,BJP,1,12th Pass,"Rs 17,56,85,977  ~ 17 Crore+",Rs 0  ~
22,27,KRISHNASAMY M,Arani,INC,"Rs 17,41,985 ~ 17 Lacs+",111,157,Shri  M.  Krishnaswamy                                      ,15,2,Tamil Nadu                                                  ,26,25,33,KRISHNASAMY M,INC,0,Graduate Professional,"Rs 6,23,85,765  ~ 6 Crore+","Rs 1,67,92,067  ~ 1 Crore+"
23,28,NINONG ERING,Arunachal East,INC,"Rs 8,89,725 ~ 8 Lacs+",31,67,Shri  Ninong  Ering                                             ,15,2,Arunachal Pradesh                                           ,26,0,36,NINONG ERING,INC,0,Graduate,"Rs 10,43,20,000  ~ 10 Crore+","Rs 12,51,784  ~ 12 Lacs+"
